Date,EURUSD,US3M,EUR3M,EUR3M fwd,EURIBOR
1/3/2000,1.0243,6.00125,3.338,67.5,3.338
1/4/2000,1.0296,6.0425,3.343,69.7,3.343
1/5/2000,1.0321,6.03,3.341,69.8,3.341
1/6/2000,1.0328,6.03,3.331,69.5,3.331
1/7/2000,1.0295,6.03,3.322,69.88,3.322
1/10/2000,1.0256,6.02625,3.317,69.93,3.317
1/11/2000,1.0336,6.03,3.315,70.1,3.315
1/12/2000,1.0309,6.03938,3.322,69.98,3.322
1/13/2000,1.0258,6.04,3.322,69.55,3.322
1/14/2000,1.0122,6.04,3.321,69.5,3.321
1/17/2000,1.0122,6.03625,3.316,68.85,3.316
1/18/2000,1.0137,6.035,3.313,71.85,3.313
1/19/2000,1.0133,6.0375,3.308,69.65,3.308
1/20/2000,1.0168,6.04,3.31,68.75,3.31
1/21/2000,1.0098,6.04,3.31,68.5,3.31
1/24/2000,1.0072,6.04,3.317,67.5,3.317
1/25/2000,1.0009,6.04,3.322,67.5,3.322
1/26/2000,1.0019,6.04,3.332,63.75,3.332
1/27/2000,0.9882,6.04,3.428,61.3,3.428
1/28/2000,0.9747,6.04875,3.486,63,3.486
1/31/2000,0.9707,6.0775,3.492,62.35,3.492
2/1/2000,0.9711,6.09125,3.496,63.15,3.496
2/2/2000,0.9765,6.1,3.489,63.5,3.489
2/3/2000,0.9894,6.0975,3.498,63.2,3.498
2/4/2000,0.9832,6.09,3.493,63.2,3.493
2/7/2000,0.9815,6.1,3.496,62.85,3.496
2/8/2000,0.9855,6.1,3.496,63.35,3.496
2/9/2000,0.9942,6.1,3.492,63.5,3.492
2/10/2000,0.9854,6.09875,3.487,63,3.487
2/11/2000,0.9875,6.09625,3.491,62.8,3.491
2/14/2000,0.9783,6.09,3.49,62,3.49
2/15/2000,0.9815,6.09,3.487,62.5,3.487
2/16/2000,0.9863,6.09,3.488,62.45,3.488
2/17/2000,0.9878,6.09,3.489,62.65,3.489
2/18/2000,0.9839,6.11,3.531,61.05,3.531
2/21/2000,0.9877,6.11,3.612,60.25,3.612
2/22/2000,1.0038,6.11,3.625,61,3.625
2/23/2000,1.0036,6.11,3.632,61.8,3.632
2/24/2000,0.992,6.11,3.632,62.1,3.632
2/25/2000,0.9749,6.10125,3.598,60.7,3.598
2/28/2000,0.9709,6.10125,3.616,60.5,3.616
2/29/2000,0.9642,6.10875,3.634,60.25,3.634
3/1/2000,0.9727,6.11,3.633,60.5,3.633
3/2/2000,0.9656,6.11875,3.642,60.25,3.642
3/3/2000,0.9586,6.12,3.632,60.15,3.632
3/6/2000,0.9586,6.12,3.64,59.75,3.64
3/7/2000,0.9584,6.12688,3.646,60.55,3.646
3/8/2000,0.961,6.13,3.669,59.95,3.669
3/9/2000,0.9669,6.14,3.714,59,3.714
3/10/2000,0.9637,6.14375,3.736,58.35,3.736
3/13/2000,0.9642,6.15,3.779,57.8,3.779
3/14/2000,0.9686,6.16,3.786,59.5,3.786
3/15/2000,0.9669,6.1725,3.794,58.3,3.794
